## $Header: inputFile.txt $
## Version: 1.0
## Date: 10-Dec-2024
##
## +===========================================================================+
## |  Copyright (c) 2024 Oracle Corporation, Redwood Shores, California, USA   |
## |                        All rights reserved                                |
## |                       Applications  Division                              |
## +===========================================================================+
## |
## | FILENAME
## |   inputFile.txt
## |
## | DESCRIPTION
## |   This is the input file for the initParamValidation.pl script. This file must not be altered manually. 
#
## | VERSION HISTORY:
## |       VER                  CHANGED BY                    DATE                  COMMENT
## | ==============================================================================================================
## |       1.0              debasmis adssriva               10 Dec 2024         parameters for  db23 and db19
## |                        
EBSVER|DBVER|PLATFORM|PARAMETER|VALUE|MANDATORY|TYPE|SCOPE|ACTION
12.2|db19|GEN|_like_with_bind_as_equality|TRUE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as TRUE, and may not be changed. No other values are supported.
12.2|db19|GEN|_fast_full_scan_enabled|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db19|GEN|_b_tree_bitmap_plans|FALSE|Y|FIX|ANY|Optimizer parameter. This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db19|GEN|optimizer_secure_view_merging|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db19|GEN|_optimizer_autostats_job|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db19|GEN|parallel_max_servers|8|N|SIZING|ANY|Specifies the maximum number of parallel execution processes and parallel recovery processes for an instance.Parallel execution is used by some Oracle EBS concurrent programs such as Gather Statistcs, AD when creating large indexes. Parallel Max servers value should be 2 x no. of CPUs.
12.2|db19|GEN|parallel_min_servers|0|N|OTHER|CDB|Specifies the number of parallel execution processes Oracle creates when the instance is started. These processes will be kept alive to service parallel statements.
12.2|db19|GEN|parallel_degree_policy|MANUAL|Y|FIX|ANY|Specifies whether automatic degree of parallelism, statement queuing, and in-memory parallel execution will be enabled. It is recommended to set the parameter parallel_degree_policy to MANUAL, the default value. This disables automatic degree of parallelism.
12.2|db19|GEN|parallel_force_local|TRUE|Y|FIX|ANY|Specifies whether a SQL statement executed in parallel is restricted to a single instance in an Oracle RAC environment. It is recommended to set the parameters PARALLEL_FORCE_LOCAL on each instance, to ensure that parallel requests do not span instances.
12.2|db19|RAC|cluster_database|TRUE|Y|OTHER|CDB|The following Oracle RAC related parameters should be set when running E-Business Suite in an Oracle RAC environment. Set cluster_database = FALSE if not using RAC.
12.2|db19|GEN|pga_aggregate_target|1G|Y|SIZING|ANY|Specifies the target aggregate PGA memory available to all server processes attached to the instance.
12.2|db19|GEN|workarea_size_policy|AUTO|Y|FIX|ANY|Specifies the policy for sizing work areas. The automatic memory manager is used to manage the PGA memory. This avoids the need to manually tune the settings of sort_area_size and hash_area_size.
12.2|db19|GEN|filesystemio_options|SETALL|Y|FIXSP|CDB|Specifies I/O operations for file system files.Direct I/O bypasses OS layer caching. If Direct I/O and asynchronous are enabled on your OS, and your Linux kernel version is uek-2.6.39-200.29.3.el6uek or later (see Doc ID 1487957.1), use SETALL for optimal performance. Otherwise, use the value that matches your system: none /  directIO /  asynch. Note: SETALL is mandatory for Oracle E-Business Suite on Oracle Public Cloud.
12.2|db19|GEN|sec_case_sensitive_logon|FALSE|Y|FIX|CDB|Enables or disables password case sensitivity in the database. The default value of this parameter is TRUE, i.e. passwords are case-sensitive at the database level. Although the parameter is deprecated in Oracle Database 12c and 19c, it still needs to be set explicitly set for Oracle E-Business Suite. Refer to MOS Doc 396009.1 for more details.
12.2|db19|GEN|_disable_actualization_for_grant|TRUE|Y|FIX|ANY|For all database versions, set the _disable_actualization_for_grant parameter to TRUE. Refer to MOS Doc 396009.1 for more details.
12.2|db19|GEN|compatible|19.0.0|Y|FIXSP|CDB|DB compatibility should be set to the current release.
12.2|db19|GEN|optimizer_adaptive_plans|TRUE|Y|FIX|ANY|Adaptive plans are execution plans built with alternative choices that are decided at run time based on statistics collected as the query executes. Default (TRUE) enables adaptive plans, star transformation bitmap pruning and the adaptive parallel distribution method.
12.2|db19|GEN|optimizer_adaptive_statistics|FALSE|Y|FIX|ANY|When set to FALSE (Default), it disables SQL plan directives, statistics feedback for joins, performance feedback and adaptive dynamic sampling for parallel execution.
12.2|db19|GEN|pga_aggregate_limit|0|Y|FIX|ANY|pga_aggregate_limit is a hard limit on the PGA memory usage. If this limit is reached or exceeded, Oracle will terminates the sessions. When value of 0 is specified, it means there is no limit to the aggregate PGA memory consumed by the instance.
12.2|db19|GEN|temp_undo_enabled|FALSE|Y|FIX|ANY|TEMP_UNDO_ENABLED helps to reduce the amount of redo caused by DML on global temporary tables. Setting to TRUE may cause serious issues, such as ORA-55526, for distributed transactions (Ref. Bug 20712819). The recommended value for systems using distributed transactions is currently FALSE (Pending ER 24286334).
12.2|db19|GEN|_pdb_name_case_sensitive|TRUE|N|FIXSP|CDB|This parameter must be set to TRUE when the non-CDB name is in either lowercase or mixed case. This ensures that the PDB will then be created with the same case. Otherwise, for an uppercase PDB name, the default value of FALSE can be retained. This parameter must be set to the correct value at CDB level before a PDB is created. Once the PDB has been created, the value must not be changed unless specifically directed by Oracle, for example in My Oracle Support Knowledge Document 2782130.1, "Implementing Case-Insensitive Pluggable Database Names with Oracle E-Business Suite Release 12.2 on Oracle Database 19c Multitenant Architecture".
12.2|db19|GEN|event|10946 trace name context forever, level 8454144|Y|EVENT|CDB|This parameter needs to be set at the CDB level. When this event is set, it will allow utl_file functions to accept a directory path as input and enable backward compatibility of user/all/dba_arguments behavior on 19c.
12.2|db19|GEN|_optimizer_gather_stats_on_conventional_dml|FALSE|Y|OTHER|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db19|GEN|_optimizer_use_stats_on_conventional_dml|FALSE|Y|OTHER|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db19|GEN|optimizer_real_time_statistics|FALSE|Y|FIX|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db19|GEN|recyclebin|off|Y|FIXSP|ANY|The database recyclebin must be turned off to allow the cleanup phase of the nline patching cycle to be performed without having to connect as SYS.
12.2|db19|GEN|service_names|%s_dbSid%, <s_patch_service_name or ebs_patch>|N|OTHER|CDB|To support online patching, Oracle E-Business Suite Release 12.2 introduces a new database service.
12.2|db19|GEN|local_listener|%s_dbSid%_LOCAL|N|OTHER|ANY|The local_listener setting is part of the AutoConfig templates, and required for listener registration of any non-default (1521) ports.
12.2|db19|GEN|result_cache_max_size|600M|YW|SIZING|ANY|For Oracle E-Business Suite 12.2.x, set the result_cache_max_size parameter to make optimal use of result cache memory.The value of result_cache_max_size is the maximum amount of memory taken from the shared pool, so it should be set in consideration with the setting of the shared_pool_size parameter.For higher concurrency environments that have more than 2000 active Oracle E-Business Suite user accounts, a setting of 600M is recommended.
12.2|db19|GEN|_kks_use_mutex_pin|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|_shared_pool_reserved_min_alloc|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|_sqlexec_progression_cost|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|always_anti_join|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|always_semi_join|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|background_dump_dest|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|core_dump_dest|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|db_block_buffers|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|db_cache_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|db_file_multiblock_read_count|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|drs_start|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|enqueue_resources|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|event|10932 trace name context level 32768|Y|REMOVE|NA|NA
12.2|db19|GEN|event|10933 trace name context level 512|Y|REMOVE|NA|NA
12.2|db19|GEN|event|10943 trace name context forever, level 2|Y|REMOVE|NA|NA
12.2|db19|GEN|event|10943 trace name context level 16384|Y|REMOVE|NA|NA
12.2|db19|GEN|event|38004 trace name context forever, level 1|Y|REMOVE|NA|NA
12.2|db19|GEN|exafusion_enabled|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|exclude_seed_cdb_view|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|global_context_pool_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|hash_area_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|instance_groups|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|java_pool_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|job_queue_interval|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|large_pool_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|max_enabled_roles|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|o7_dictionary_accessibility|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|olap_page_pool_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_adaptive_features|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_dynamic_sampling|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_features_enable|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_index_caching|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_index_cost_adj|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_max_permutations|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_mode|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|optimizer_percent_parallel|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_automatic_tuning|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_instance_group|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_degree_level|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_io_cap_enabled|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_server|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|parallel_server_instances|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|plsql_compiler_flags|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|plsql_native_library_dir|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|plsql_native_library_subdir_count|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|plsql_optimize_level|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|query_rewrite_enabled|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|rollback_segments|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|row_locking|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|sort_area_size|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|standby_archive_dest|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|sql_trace|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|sql_version|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|timed_statistics|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|undo_retention|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|undo_suppress_errors|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|use_indirect_data_buffers|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|user_dump_dest|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|utl_file_dir|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|DBFIPS_140|NA|Y|REMOVE|NA|NA
