## $Header: inputFile.txt $
## Version: 1.0
## Date: 10-Dec-2024
##
## +===========================================================================+
## |  Copyright (c) 2024 Oracle Corporation, Redwood Shores, California, USA   |
## |                        All rights reserved                                |
## |                       Applications  Division                              |
## +===========================================================================+
## |
## | FILENAME
## |   inputFile.txt
## |
## | DESCRIPTION
## |   This is the input file for the initParamValidation.pl script. This file must not be altered manually. 
#
## | VERSION HISTORY:
## |       VER                  CHANGED BY                    DATE                  COMMENT
## | ==============================================================================================================
## |       1.0              debasmis adssriva               10 Dec 2024         parameters for  db23 and db19
## |                        
EBSVER|DBVER|PLATFORM|PARAMETER|VALUE|MANDATORY|TYPE|SCOPE|ACTION
12.2|db23|GEN|aq_tm_processes|1|N|OTHER|ANY|AQ requires the TM process to handle delayed messages. A number of Application modules use AQ, including Workflow. The minimum required value is 1 and should be increased to resolve lengthy queues.
12.2|db23|GEN|job_queue_processes|#cpu_count * 0.5|Y|DERIVED|ANY|Specifies the maximum number of job queue processes that can be created for the execution of DBMS_JOB jobs and DBMS_SCHEDULER jobs. This should typically be set to a value of 2 for optimal performance. However, the value can be tuned to meet the specific requirements of the Workflow module and customer needs, based on the number of job queue processes needed to handle AQ event messages and for Workflow notification mailers.
12.2|db23|GEN|log_archive_dest_1|'LOCATION=/disk1/arc'|N|OTHER|CDB|Archiving parameters, including destination (optionally, multiple destinations in 11g and later) may be specified.
12.2|db23|GEN|log_archive_dest_2|'SERVICE=standby1'|N|OTHER|CDB|Archiving parameters, including destination (optionally, multiple destinations in 11g and later) may be specified.
12.2|db23|GEN|_sort_elimination_cost_ratio|5|Y|FIX|ANY|Optimizer parameter - This parameter must be set as 5, and may not be changed. No other values are supported.
12.2|db23|GEN|_like_with_bind_as_equality|TRUE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as TRUE, and may not be changed. No other values are supported.
12.2|db23|GEN|_fast_full_scan_enabled|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db23|GEN|_b_tree_bitmap_plans|FALSE|Y|FIX|ANY|Optimizer parameter. This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db23|GEN|optimizer_secure_view_merging|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db23|GEN|_optimizer_autostats_job|FALSE|Y|FIX|ANY|Optimizer parameter - This parameter must be set as FALSE, and may not be changed. No other values are supported.
12.2|db23|GEN|parallel_max_servers|8|N|SIZING|ANY|Specifies the maximum number of parallel execution processes and parallel recovery processes for an instance.Parallel execution is used by some Oracle EBS concurrent programs such as Gather Statistcs, AD when creating large indexes. Parallel Max servers value should be 2 x no. of CPUs.
12.2|db23|GEN|parallel_min_servers|0|N|OTHER|CDB|Specifies the number of parallel execution processes Oracle creates when the instance is started. These processes will be kept alive to service parallel statements.
12.2|db23|GEN|parallel_degree_policy|MANUAL|Y|FIX|ANY|Specifies whether automatic degree of parallelism, statement queuing, and in-memory parallel execution will be enabled. It is recommended to set the parameter parallel_degree_policy to MANUAL, the default value. This disables automatic degree of parallelism.
12.2|db23|GEN|parallel_force_local|TRUE|Y|FIX|ANY|Specifies whether a SQL statement executed in parallel is restricted to a single instance in an Oracle RAC environment. It is recommended to set the parameters PARALLEL_FORCE_LOCAL on each instance, to ensure that parallel requests do not span instances.
12.2|db23|RAC|cluster_database|TRUE|Y|OTHER|CDB|The following Oracle RAC related parameters should be set when running E-Business Suite in an Oracle RAC environment. Set cluster_database = FALSE if not using RAC.
12.2|db23|GEN|pga_aggregate_target|1G|Y|SIZING|ANY|Specifies the target aggregate PGA memory available to all server processes attached to the instance.
12.2|db23|GEN|workarea_size_policy|AUTO|Y|FIX|ANY|Specifies the policy for sizing work areas. The automatic memory manager is used to manage the PGA memory. This avoids the need to manually tune the settings of sort_area_size and hash_area_size.
12.2|db23|GEN|filesystemio_options|SETALL|Y|FIXSP|CDB|Specifies I/O operations for file system files.Direct I/O bypasses OS layer caching. If Direct I/O and asynchronous are enabled on your OS, and your Linux kernel version is uek-2.6.39-200.29.3.el6uek or later (see Doc ID 1487957.1), use SETALL for optimal performance. Otherwise, use the value that matches your system: none /  directIO /  asynch. Note: SETALL is mandatory for Oracle E-Business Suite on Oracle Public Cloud.
12.2|db23|GEN|_disable_actualization_for_grant|TRUE|Y|FIX|ANY|For all database versions, set the _disable_actualization_for_grant parameter to TRUE. Refer to MOS Doc 396009.1 for more details.
12.2|db23|GEN|compatible|23.0.0|Y|FIXSP|CDB|DB compatibility should be set to the current release.
12.2|db23|GEN|optimizer_adaptive_plans|TRUE|Y|FIX|ANY|Adaptive plans are execution plans built with alternative choices that are decided at run time based on statistics collected as the query executes. Default (TRUE) enables adaptive plans, star transformation bitmap pruning and the adaptive parallel distribution method.
12.2|db23|GEN|optimizer_adaptive_statistics|FALSE|Y|FIX|ANY|When set to FALSE (Default), it disables SQL plan directives, statistics feedback for joins, performance feedback and adaptive dynamic sampling for parallel execution.
12.2|db23|GEN|pga_aggregate_limit|0|Y|FIX|ANY|pga_aggregate_limit is a hard limit on the PGA memory usage. If this limit is reached or exceeded, Oracle will terminates the sessions. When value of 0 is specified, it means there is no limit to the aggregate PGA memory consumed by the instance.
12.2|db23|GEN|temp_undo_enabled|FALSE|Y|FIX|ANY|TEMP_UNDO_ENABLED helps to reduce the amount of redo caused by DML on global temporary tables. Setting to TRUE may cause serious issues, such as ORA-55526, for distributed transactions (Ref. Bug 20712819). The recommended value for systems using distributed transactions is currently FALSE (Pending ER 24286334).
12.2|db23|GEN|event|10946 trace name context forever, level 8388608|Y|EVENT|CDB|This parameter needs to be set at the CDB level. When this event is set, it will allow utl_file functions to accept a directory path as input on 23ai.
12.2|db23|GEN|_optimizer_gather_stats_on_conventional_dml|FALSE|Y|OTHER|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db23|GEN|_optimizer_use_stats_on_conventional_dml|FALSE|Y|OTHER|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db23|GEN|optimizer_real_time_statistics|FALSE|Y|FIX|ANY|Real Time Statistics for On-Premise Exadata and Exadata Cloud Service environments. Refer to MOS Doc 396009.1 for more details.
12.2|db23|GEN|permit_92_wrap_format|TRUE|Y|FIXSP|CDB|When permit_92_wrap_format is set to true, it allows Oracle Database release 9.2 wrapped versions of PL/SQL source text to be used in Oracle Database releases 11g, and 12c, 19c and 23ai.
12.2|db23|GEN|container_data|CURRENT_DICTIONARY|N|FIXSP|PDB|It is recommended to set the parameter container_data = CURRENT_DICTIONARY, when this parameter is set, it will handle queries on extended data-linked objects within the PDB return rows from the PDB only. This parameter needs to be set at the PDB level only.
12.2|db23|GEN|_ub4_audit_sessionid|TRUE|Y|FIXSP|PDB|This parameter is required by Oracle E-Business Suite for Unified Auditing. When this parameter is set,it will allow Unified Audit Trail with UB4 type session ID for Oracle E-Business Suite. This parameter needs to be set at the PDB level only.
12.2|db23|GEN|recyclebin|off|Y|FIXSP|ANY|The database recyclebin must be turned off to allow the cleanup phase of the nline patching cycle to be performed without having to connect as SYS.
12.2|db23|GEN|service_names|%s_dbSid%, <s_patch_service_name or ebs_patch>|N|OTHER|CDB|To support online patching, Oracle E-Business Suite Release 12.2 introduces a new database service.
12.2|db23|GEN|local_listener|%s_dbSid%_LOCAL|N|OTHER|ANY|The local_listener setting is part of the AutoConfig templates, and required for listener registration of any non-default (1521) ports.
12.2|db23|GEN|result_cache_max_size|600M|YW|SIZING|ANY|For Oracle E-Business Suite 12.2.x, set the result_cache_max_size parameter to make optimal use of result cache memory.The value of result_cache_max_size is the maximum amount of memory taken from the shared pool, so it should be set in consideration with the setting of the shared_pool_size parameter.For higher concurrency environments that have more than 2000 active Oracle E-Business Suite user accounts, a setting of 600M is recommended.
12.2|db23|GEN|_kks_use_mutex_pin|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|_pdb_name_case_sensitive|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|_shared_pool_reserved_min_alloc|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|_sqlexec_progression_cost|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|always_anti_join|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|always_semi_join|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|background_dump_dest|NA|Y|REMOVE|NA|NA
